YearMonth,Open,Close,High,Low,Volume
2008-05-01,600.0,644.0,703.0,491.1,19663320
2008-06-01,650.0,537.85,699.0,520.0,15829654
2008-07-01,535.0,442.65,550.0,388.05,3581521
2008-08-01,430.0,537.3,592.0,423.0,1218529
2008-09-01,532.4,386.65,545.0,340.0,1107818
2008-10-01,378.5,116.65,386.95,108.25,1139671
2008-11-01,120.0,95.55,146.0,93.5,4245921
2008-12-01,95.0,149.7,154.8,88.15,6180217
2009-01-01,151.0,172.45,214.0,145.0,1409446
2009-02-01,165.05,155.45,174.0,138.65,570024
2009-03-01,155.0,169.05,175.0,136.3,693772
2009-04-01,168.0,218.2,240.0,165.5,415962
2009-05-01,229.1,364.0,364.0,220.0,761273
2009-06-01,379.9,395.8,442.55,362.0,840038
2009-07-01,380.0,339.25,390.0,325.15,438909
2009-08-01,344.0,279.3,348.85,261.3,574767
2009-09-01,283.0,278.45,310.9,249.0,1405453
2009-10-01,272.25,311.5,358.0,272.25,2883265
2009-11-01,301.0,311.1,349.7,292.2,1738008
2009-12-01,313.0,345.6,353.4,312.15,3166238
2010-01-01,349.45,318.6,371.7,310.35,1661608
2010-02-01,318.6,347.1,361.65,315.0,2641117
2010-03-01,345.0,336.15,360.0,315.0,4713639
2010-04-01,321.35,343.95,369.0,300.0,4184366
2010-05-01,345.0,441.0,557.8,325.0,36510351
2010-06-01,438.8,437.15,492.7,403.9,11132238
2010-07-01,438.0,430.25,447.0,393.6,3200689
2010-08-01,431.1,479.65,498.7,429.0,5057735
2010-09-01,479.0,534.35,564.8,478.95,6157069
2010-10-01,539.85,470.2,544.0,454.95,1323377
2010-11-01,473.1,472.1,495.0,440.0,854173
2010-12-01,476.0,462.85,501.7,440.05,1988215
2011-01-01,463.1,408.8,477.9,394.1,992467
2011-02-01,419.0,432.8,487.0,397.4,697572
2011-03-01,434.9,524.3,607.0,429.0,26000064
2011-04-01,527.25,528.5,555.5,500.0,5329759
2011-05-01,533.0,518.4,535.05,476.1,3000179
2011-06-01,521.8,514.25,574.4,479.0,6316272
2011-07-01,518.95,535.7,569.7,508.0,3535378
2011-08-01,539.0,537.0,621.9,471.25,3844663
2011-09-01,542.7,524.4,609.8,502.65,4883534
2011-10-01,523.05,541.9,591.0,496.3,2231262
2011-11-01,536.8,424.0,555.05,412.15,1540113
2011-12-01,435.0,429.25,456.0,391.0,1551106
2012-01-01,433.0,449.2,490.0,340.0,1308337
2012-02-01,450.0,641.85,693.8,446.4,4471058
2012-03-01,644.6,611.5,664.9,597.0,2369268
2012-04-01,518.45,731.7,779.7,518.45,2977100
2012-05-01,726.0,655.7,764.6,653.55,2013633
2012-06-01,658.95,684.35,690.0,630.0,1072583
2012-07-01,689.3,744.6,755.5,661.25,2870144
2012-08-01,747.0,796.2,952.45,733.0,5165869
2012-09-01,799.9,873.6,887.4,732.75,3184498
2012-10-01,878.95,851.55,983.95,822.95,4518352
2012-11-01,851.0,882.2,895.0,820.0,1534137
2012-12-01,881.0,903.55,968.0,873.55,4066529
2013-01-01,909.75,852.0,938.4,824.95,1917326
2013-02-01,854.25,810.2,874.0,749.05,2568401
2013-03-01,815.9,771.55,826.45,757.95,801309
2013-04-01,774.25,741.9,795.0,740.1,750699
2013-05-01,744.6,662.95,781.1,661.15,1716987
2013-06-01,660.8,642.5,684.9,613.0,1802256
2013-07-01,637.0,589.6,678.0,586.25,2013047
2013-08-01,585.5,590.1,616.0,561.0,595353
2013-09-01,589.5,605.45,632.7,565.7,795965
2013-10-01,612.85,638.1,664.7,595.0,1086349
2013-11-01,637.4,732.4,738.35,637.0,794311
2013-12-01,744.95,742.7,749.95,671.0,540598
2014-01-01,744.0,680.15,767.0,661.05,635187
2014-02-01,671.15,722.1,731.0,658.35,466282
2014-03-01,711.0,788.05,795.0,694.25,683686
2014-04-01,794.45,832.15,837.95,749.95,612738
2014-05-01,828.6,852.0,938.0,788.85,2431774
2014-06-01,843.5,934.75,960.0,837.05,1313729
2014-07-01,934.75,944.25,988.0,912.0,1298805
2014-08-01,935.0,1053.3,1075.8,912.65,1157949
2014-09-01,1050.05,1129.65,1164.85,1021.1,1368895
2014-10-01,1124.0,1068.35,1137.7,975.0,670421
2014-11-01,1068.35,1150.6,1173.95,1021.0,3419205
2014-12-01,1154.1,1307.65,1416.9,1146.0,1515845
2015-01-01,1309.9,1447.55,1499.0,1208.2,1780667
2015-02-01,1443.0,1407.4,1546.05,1391.0,1465229
2015-03-01,1412.0,1414.55,1573.95,1311.35,3259185
2015-04-01,1412.0,1434.9,1469.95,1258.55,673445
2015-05-01,1430.15,1527.1,1575.0,1356.75,703023
2015-06-01,1540.0,1532.1,1606.65,1435.15,2295472
2015-07-01,1527.65,1845.7,1870.0,1527.65,1320676
2015-08-01,1859.0,1809.8,2160.0,1662.0,1755223
2015-09-01,1800.0,1729.5,1915.1,1677.05,1671316
2015-10-01,1748.95,1968.0,2008.9,1716.2,1560276
2015-11-01,1970.0,1928.7,1995.25,1884.6,770525
2015-12-01,1935.95,1987.9,2066.05,1855.0,779576
2016-01-01,1990.0,1861.65,2045.0,1804.0,777638
2016-02-01,1894.0,1611.9,1939.0,1551.25,1196413
2016-03-01,1618.0,1711.1,1750.0,1613.0,1425191
2016-04-01,1712.0,1875.35,1931.0,1712.0,1418953
2016-05-01,1880.0,1820.65,1990.0,1725.55,1356285
2016-06-01,1835.95,2321.6,2390.0,1762.1,4080046
2016-07-01,2321.0,2723.9,2784.9,2292.05,4213496
2016-08-01,2739.8,2967.3,2997.0,2576.15,3675493
2016-09-01,2962.0,3069.55,3424.8,2862.1,4031236
2016-10-01,3109.0,3416.75,3445.0,3089.0,3507706
2016-11-01,3440.0,2990.0,3480.0,2480.0,10156055
2016-12-01,3009.0,2894.85,3095.0,2541.3,3005657
2017-01-01,2898.0,3245.85,3338.0,2858.8,1908570
2017-02-01,3270.0,3914.15,3980.0,3166.0,2417336
2017-03-01,3969.0,4098.4,4217.0,3740.0,1965376
2017-04-01,4098.4,4575.65,4750.0,4065.0,2003668
2017-05-01,4580.75,4192.0,4671.75,3801.0,3342311
2017-06-01,4141.0,4118.7,4343.45,3950.0,2314209
2017-07-01,4125.0,4991.85,5098.0,4080.0,4259509
2017-08-01,5025.0,5502.85,5630.0,4913.0,4197975
2017-09-01,5530.0,5154.45,5790.0,5001.75,4012091
2017-10-01,5210.0,5010.35,5448.8,4827.1,3259133
2017-11-01,5050.0,5214.1,5349.0,4850.0,2565969
2017-12-01,5213.75,5230.4,5444.9,4905.0,2331293
2018-01-01,5208.0,4812.35,5308.75,4736.45,3149644
2018-02-01,4811.05,5051.7,5350.0,4500.0,3272244
2018-03-01,5052.0,5171.55,5299.0,4800.0,3217296
2018-04-01,5075.0,5482.6,5585.95,5071.15,2873483
2018-05-01,5480.0,6042.25,6156.9,5225.0,3802126
2018-06-01,6069.0,5821.1,6293.6,5682.6,3272065
